stim_id,train_item,sums_feat,category,correct_key
0 0 0 0 0 0 0 0 0 0,0,10,categoryA,f
1 1 1 1 1 1 1 1 1 1,0,0,categoryB,j
1 0 0 0 0 0 0 0 0 1,1,8,categoryA,f
0 1 0 0 0 0 0 0 1 0,1,8,categoryA,f
0 0 1 0 1 1 0 1 0 0,1,6,categoryA,f
0 0 0 1 1 1 1 0 0 0,1,6,categoryA,f
0 0 0 1 0 0 1 0 0 0,1,8,categoryA,f
0 0 1 0 0 0 0 1 0 0,1,8,categoryA,f
1 1 0 0 0 0 0 0 1 1,1,6,categoryA,f
0 1 1 1 1 1 1 1 1 0,1,2,categoryB,j
1 0 1 1 1 1 1 1 0 1,1,2,categoryB,j
1 1 0 1 0 0 1 0 1 1,1,4,categoryB,j
1 1 1 0 0 0 0 1 1 1,1,4,categoryB,j
1 1 1 0 1 1 0 1 1 1,1,2,categoryB,j
1 1 0 1 1 1 1 0 1 1,1,2,categoryB,j
0 0 1 1 1 1 1 1 0 0,1,4,categoryB,j
0 1 0 0 0 0 0 0 0 0,0,9,categoryA,f
0 0 0 0 0 0 0 0 1 0,0,9,categoryA,f
1 0 0 0 0 0 0 0 0 0,0,9,categoryA,f
0 0 0 0 1 0 0 0 0 0,0,9,categoryA,f
0 0 0 0 0 0 0 1 0 0,0,9,categoryA,f
0 0 0 0 1 0 0 1 0 0,0,8,categoryA,f
1 0 0 0 0 0 1 0 0 0,0,8,categoryA,f
0 0 0 0 1 0 0 0 1 0,0,8,categoryA,f
0 0 0 0 1 0 1 0 0 0,0,8,categoryA,f
0 0 1 0 0 0 0 0 0 1,0,8,categoryA,f
0 0 1 0 1 0 1 0 0 0,0,7,categoryA,f
0 0 1 0 1 0 0 0 1 0,0,7,categoryA,f
0 0 0 0 0 0 1 1 0 1,0,7,categoryA,f
0 1 1 0 0 0 0 0 1 0,0,7,categoryA,f
1 1 0 0 0 1 0 0 0 0,0,7,categoryA,f
0 0 0 1 1 0 1 1 0 0,0,6,categoryA,f
1 0 1 1 0 0 1 0 0 0,0,6,categoryA,f
0 0 1 1 0 1 0 1 0 0,0,6,categoryA,f
1 0 0 1 1 1 0 0 0 0,0,6,categoryA,f
0 0 1 1 0 0 0 1 1 0,0,6,categoryA,f
1 1 1 0 1 0 1 0 0 1,0,4,categoryB,j
0 1 0 1 0 1 1 1 1 0,0,4,categoryB,j
0 1 1 1 0 1 1 1 0 0,0,4,categoryB,j
1 1 0 1 1 1 0 0 1 0,0,4,categoryB,j
1 1 1 1 0 1 0 1 0 0,0,4,categoryB,j
0 1 1 1 1 1 0 0 1 1,0,3,categoryB,j
1 1 1 1 1 0 0 1 0 1,0,3,categoryB,j
0 1 0 1 1 1 1 0 1 1,0,3,categoryB,j
0 1 0 1 1 1 1 1 1 0,0,3,categoryB,j
0 1 1 1 0 1 1 1 1 0,0,3,categoryB,j
1 1 0 1 1 0 1 1 1 1,0,2,categoryB,j
1 0 1 1 1 1 0 1 1 1,0,2,categoryB,j
0 1 1 1 1 0 1 1 1 1,0,2,categoryB,j
0 1 1 0 1 1 1 1 1 1,0,2,categoryB,j
1 1 1 1 1 0 1 1 1 0,0,2,categoryB,j
1 1 1 1 1 1 0 1 1 1,0,1,categoryB,j
1 0 1 1 1 1 1 1 1 1,0,1,categoryB,j
1 1 0 1 1 1 1 1 1 1,0,1,categoryB,j
1 1 1 1 0 1 1 1 1 1,0,1,categoryB,j
0 1 1 1 1 1 1 1 1 1,0,1,categoryB,j
